lr,weight_decay,dropout_rate,clip_value,hidden_dims,activation,epochs,early_stopping_patience,use_bn,val_mse,trial,time_s,order
0.0028709622667882277,0.0004827461367786621,0.05647858508808151,1.0888347510654461,"[256, 128, 64, 32]",leaky_relu,80,15,True,0.2779443562030792,29,56.42037343978882,30
0.0034885205571560775,1.1541329711371676e-05,0.28570129734495675,2.430000746038016,"[256, 128, 64, 32]",relu,80,15,True,0.28612810373306274,11,72.08787679672241,12
0.0007103016459394281,0.0027781214102926563,0.32424860998944155,3.6561629343590365,"[128, 64, 32]",leaky_relu,80,15,True,0.2912552058696747,28,81.76690006256104,29
0.002864272828819121,0.0006380322587719691,0.16435026026654898,4.924462624593251,"[128, 64, 32]",relu,80,15,True,0.2938373386859894,37,39.8705780506134,38
0.0008243466861912185,8.414897317776893e-05,0.2743473028219111,3.877434276735518,"[128, 64, 32]",leaky_relu,80,15,True,0.2967485189437866,36,75.36523938179016,37
0.0012520653814999472,0.0013981961408994052,0.42221092576252406,3.910794813231361,"[256, 128, 64]",relu,80,15,True,0.30795276165008545,1,69.82305955886841,2
0.007744496818914618,0.0002467712283708883,0.34100228029398894,0.9122117363580375,"[256, 128, 64, 32]",relu,80,15,True,0.31228336691856384,38,100.6642427444458,39
0.00467395253077256,2.062473195823177e-05,0.20426793962724688,2.938874040970683,"[64, 32]",leaky_relu,80,15,True,0.31783878803253174,45,28.660456657409668,46
0.00027796258518939394,0.00409446269461076,0.31145084744485096,3.8380414516732824,"[256, 128, 64, 32]",relu,80,15,True,0.3193014860153198,6,73.20511198043823,7
0.0001566993530708272,0.0019219812652967547,0.33856291340013517,4.032101102391999,"[256, 128, 64, 32]",relu,80,15,True,0.32260969281196594,20,110.53405833244324,21
0.0001698670453505509,0.0006717375374452924,0.019275919668690022,3.6330094518667377,"[128, 64]",selu,80,15,True,0.33092615008354187,44,52.7078640460968,45
0.005221298646507242,0.00013126032188463143,0.03871089192665206,1.4612755525924475,"[128, 64, 32]",leaky_relu,80,15,True,0.3310602605342865,33,34.29568147659302,34
0.001066317870263958,0.0020868688485722636,0.05341426885082784,3.6616348579408498,"[256, 128, 64, 32]",leaky_relu,80,15,True,0.33110523223876953,15,41.69195294380188,16
0.00038844542013174906,0.000390625208786718,0.2609919548562466,4.1301084970340565,"[128, 64, 32]",elu,80,15,True,0.3387344777584076,18,84.65238690376282,19
0.001263559813738167,0.0013318136687429966,0.11898231354594568,2.9490315138317835,"[128, 64, 32]",selu,80,15,True,0.3402594029903412,4,85.22450256347656,5
0.0005611516415334506,0.0071144760093434225,0.3197133992289419,0.6125483985020013,"[128, 64, 32]",leaky_relu,80,15,True,0.3406696319580078,0,54.16988444328308,1
0.006105486887627994,9.906937334398726e-05,0.3966700418808315,4.198793190438771,"[256, 128, 64]",elu,80,15,True,0.3408122956752777,7,31.999958753585815,8
0.005498551198648875,0.0005582526406075467,0.188481151195193,4.670548284768444,"[64, 32]",leaky_relu,80,15,True,0.3425396978855133,26,36.257349729537964,27
0.0005611516415334506,0.0071144760093434225,0.3197133992289419,0.6125483985020013,"[128, 64, 32]",leaky_relu,80,15,True,0.34589478373527527,43,47.64007639884949,44
0.0002796289669821085,0.00037109920520037596,0.18076138745703757,2.662162995205823,"[256, 128, 64]",leaky_relu,80,15,True,0.3459186553955078,17,26.703208684921265,18
0.005339738279293802,7.156783765663499e-05,0.27405952690584956,2.056243205021247,"[256, 128, 64, 32]",elu,80,15,True,0.34592077136039734,30,32.119691133499146,31
0.0055828865879781996,0.008046777417892738,0.1133529296905244,4.830327661254723,"[128, 64]",leaky_relu,80,15,True,0.3479478657245636,9,36.77917671203613,10
0.0049846583218265605,3.4410245789652314e-05,0.4826210707760615,0.5524461220646351,"[64, 32]",leaky_relu,80,15,True,0.34807679057121277,16,36.8422155380249,17
0.009506551974984317,0.0004452810166265693,0.1359377071920454,2.6961269353290853,"[64, 32]",elu,80,15,True,0.3525727689266205,46,38.776076793670654,47
0.001942169242839279,0.0001387539862905043,0.2695407823029053,1.8013839963787424,"[64, 32]",leaky_relu,80,15,True,0.35313716530799866,31,25.858203172683716,32
0.0010829184866889257,0.006932467008342654,0.4624326258129726,4.768726000969297,"[64, 32]",relu,80,15,True,0.36086800694465637,24,39.85499906539917,25
0.00031406551661398665,0.0002238341068746249,0.2851642115684366,3.3450484801045035,"[128, 64, 32]",selu,80,15,True,0.3609399199485779,34,64.89215230941772,35
0.008591315698733486,0.0004382245941855636,0.11802404486871726,0.9642471540382211,"[256, 128, 64]",selu,80,15,True,0.3619759976863861,5,35.23385405540466,6
0.003695427629909335,0.0008026036272969123,0.44413403822624403,2.299974781869558,"[256, 128, 64, 32]",leaky_relu,80,15,True,0.36294376850128174,47,41.54218649864197,48
0.00022937145935627006,1.1439992097685261e-05,0.2261897767549093,3.018975737362232,"[256, 128, 64]",selu,80,15,True,0.3644184470176697,12,49.03745698928833,13
0.0007447144904083078,1.1961308606153198e-05,0.4780171359446247,4.765223691767072,"[64, 32]",relu,80,15,True,0.36523744463920593,3,70.93341040611267,4
0.0003733426822643701,0.0074871528539597705,0.006139123698987725,1.005794874861061,"[256, 128, 64]",leaky_relu,80,15,True,0.3658047020435333,32,27.030345678329468,33
0.008318300526787656,0.0012546891714577395,0.35617149391345926,4.279098813403429,"[128, 64]",leaky_relu,80,15,True,0.3775203824043274,25,19.747498750686646,26
0.0019987040085595142,0.0003283674657468434,0.09063243166661067,3.4764374682285997,"[128, 64, 32]",leaky_relu,80,15,True,0.37752625346183777,19,20.92722511291504,20
0.0005882287391166797,0.0037942290057997514,0.31973684736016017,2.430594428593575,"[64, 32]",relu,80,15,True,0.38350051641464233,39,28.615670680999756,40
0.00041292379039294824,0.00036155505501145427,0.3736456331116418,1.4123868455565936,"[128, 64]",selu,80,15,True,0.38414156436920166,27,49.64536643028259,28
0.0001251554487151282,7.367649878489494e-05,0.08247473991659898,3.603951158979053,"[128, 64, 32]",selu,80,15,True,0.3848365843296051,22,34.146443605422974,23
0.00010489343501429875,0.00032034929786131427,0.23150367890751072,2.1799036912776892,"[128, 64]",leaky_relu,80,15,True,0.38692983984947205,10,56.0126211643219,11
0.00020338816813650012,0.0016601567270965525,0.23728533934427404,3.458626261957649,"[128, 64, 32]",leaky_relu,80,15,True,0.39352089166641235,13,52.029433250427246,14
0.0035925665437053695,5.15969060111763e-05,0.1295042458577368,3.5836609683404164,"[128, 64]",leaky_relu,80,15,True,0.3945210874080658,14,14.538513422012329,15
0.00011943273060999293,0.002189280362738037,0.26446769147020616,3.1358608463743773,"[128, 64]",relu,80,15,True,0.39676186442375183,35,61.455976724624634,36
0.00014210736239935758,0.0021865347140571723,0.16191638241658118,1.1788212826602587,"[64, 32]",relu,80,15,True,0.40911203622817993,8,44.193127393722534,9
0.0012410186619313003,0.0024756945684597967,0.10492562226825863,2.2342906006926815,"[128, 64]",leaky_relu,80,15,True,0.4171684980392456,40,15.41154932975769,41
